longitude,latitude,street,city,state,phone
-114.063442,50.930246,#2102 380 Canyon Meadows Dr,Calgary,AB T2J 7C3,(403) 271-1808
-113.962402,51.03772,5029 17Th Ave,Calgary,AB T2A 0V5,(403) 207-5073
-113.55761,53.582504,12523 St Albert Trail,Edmonton,AB T5L 4H3,(780) 455-5513
-113.404701,53.594479,12805-50 Street Nw,Edmonton,AB T5A 3P3,(780) 473-5790
-113.588996,53.558865,15525 111Th Avenue,Edmonton,AB T5M 2R5,(780) 484-0441
-113.5162895,53.4866737,5015 111 St NW,Edmonton,AB T6H 4M6,(780) 436-1206
-113.433074,53.458349,6535 28Th Avenue,Edmonton,AB T6L 7B5,(780) 469-4774
-113.627379,53.537291,9981 178 St,Edmonton,AB T5T 3H4,(780) 486-3048
-118.794759,55.189372,12023 100 St,Grande Prairie,AB T8V 4J8,(780) 538-2729
-112.833744,49.693835,216 First Ave S,Lethbridge,AB T1J 0A4,(403) 320-8702
-112.798169,49.667369,3010 26Th Ave S,Lethbridge,AB T1J 0A4,(403) 381-3374
-110.006607,53.277889,5019-44 St,Lloydminster,AB T9V 0A6,(780) 875-4151
-113.81467,52.2950299,6880 50th Ave,Red Deer,AB T4N 4E3,(678) 514-4100
-113.989632,51.203001,261055 Crossiron,Rockyview,AB T4A 0G3,(403) 274-7132
-113.307763,53.511538,55 Salisbury Way,Sherwood Park,AB T8B 0A9,(780) 400-9547
-113.919352,53.540958,140 St Matthew Rd,Spruce Grove,AB T7X,(780) 962-9133
-113.624691,53.639829,371A St Albert Rd,St Albert,AB T8N 0R1,(780) 460-8640
-149.732908,61.211789,1135 Muldoon Rd,Anchorage,AK,(907) 337-5714
-149.8869,61.19477,2850 C St,Anchorage,AK,(907) 562-5562
-149.571732,61.326259,11716 Old Glenn Hwy,Eagle River,AK,(907) 696-7813
-151.23953,60.55809,10733 Kenai Spur Hwy,Kenai,AK,(907) 283-3911
-151.06976,60.48284,44433 Sterling Hwy,Soldotna,AK,(907) 260-5648
-149.40855,61.57659,1750 E Parks Hwy,Wasilla,AK,(907) 373-2729
-86.83616,33.25935,105 South Colonial Cir,Alabaster,AL 35007,(205) 620-0011
-86.8149,33.24951,652 First St N,Alabaster,AL 35007,(205) 664-1797
-86.20806,34.27752,7448 Us 431,Albertville,AL,(256) 891-1658
