Day,Article,Maker,Color1,Color2,Month
9-15-2017,Coat,Stephan Schneider,Navy,,September
9-15-2017,Shirt,Uniqlo,Navy,,September
9-15-2017,Pants,Comme Des Garcons Homme,Black,,September
9-15-2017,Shoes,Vans,Black,,September
9-16-2017,Coat,Dana Lee,Navy,,September
9-16-2017,Shirt,Issey Miyake,Brown,Purple,September
9-16-2017,Pants,Issey Miyake,Brown,,September
9-16-2017,Shoes,Vans,White,,September
9-17-2017,Coat,Robert Geller,Black,,September
9-17-2017,Shirt,Uniqlo,Black,,September
9-17-2017,Pants,Issey Miyake,Black,,September
9-17-2017,Shoes,Vans,Black,,September
9-18-2017,Coat,Robert Geller,Black,,September
9-18-2017,Shirt,Uniqlo,Black,,September
9-18-2017,Pants,Issey Miyake,Black,,September
9-18-2017,Shoes,Vans,Black,,September
9-19-2017,Coat,Sage De Cret,Charcoal,,September
9-19-2017,Shirt,Uniqlo,Navy,,September
9-19-2017,Pants,Comme Des Garcons Homme,Black,,September
9-19-2017,Shoes,Vans,Black,,September
9-20-2017,Coat,Maison Martin Margiela,Charcoal,,September
9-20-2017,Shirt,Uniqlo,Navy,,September
9-20-2017,Pants,Comme Des Garcons Homme,Black,,September
9-20-2017,Shoes,Vans,Black,,September
9-21-2017,Coat,Robert Geller,Black,,September
9-21-2017,Shirt,Uniqlo,Navy,,September
9-21-2017,Pants,Helmut Lang,Black,,September
9-21-2017,Shoes,Vans,White,,September
9-22-2017,Coat,Robert Geller,Black,,September
9-22-2017,Shirt,Issey Miyake,Black,White,September
9-22-2017,Pants,Issey Miyake,Black,,September
9-22-2017,Shoes,Vans,White,,September
9-23-2017,Coat,NA,Navy,,September
9-23-2017,Shirt,Issey Miyake,Brown,Purple,September
9-23-2017,Pants,Issey Miyake,Brown,,September
9-23-2017,Shoes,Heschung,Brown,,September
9-24-2017,Coat,NA,NA,,September
9-24-2017,Shirt,Uniqlo,Navy,White,September
9-24-2017,Pants,Uniqlo,Navy,,September
9-24-2017,Shoes,Vans,White,,September
9-25-2017,Coat,NA,,,September
9-25-2017,Shirt,Uniqlo,Black,,September
9-25-2017,Pants,Helmut Lang,Black,,September
9-25-2017,Shoes,Nike,Black,,September
9-26-2017,Coat,NA,,,September
9-26-2017,Shirt,Issey Miyake,Black,White,September
9-26-2017,Pants,Issey Miyake,Black,,September
9-26-2017,Shoes,Vans,Black,,September
9-27-2017,Coat,NA,,,September
9-27-2017,Shirt,Uniqlo,Charcoal,,September
9-27-2017,Pants,J. Crew,Navy,,September
9-27-2017,Shoes,Vans,White,,September
9-28-2017,Coat,Stephan Schneider,Navy,,September
9-28-2017,Shirt,Uniqlo,Navy,White,September
9-28-2017,Pants,Issey Miyake,Brown,,September
9-28-2017,Shoes,Heschung,Brown,,September
9-28-2017,Coat,Stephan Schneider,Navy,,September
9-28-2017,Shirt,Uniqlo,Burgundy,,September
9-28-2017,Pants,Issey Miyake,Brown,,September
9-28-2017,Shoes,Heschung,Brown,,September
9-29-2017,Coat,Stephan Schneider,Navy,,September
9-29-2017,Shirt,Uniqlo,Burgundy,,September
9-29-2017,Pants,Issey Miyake,Brown,,September
9-29-2017,Shoes,Heschung,Brown,,September
9-30-2017,Coat,Stephan Schneider,Navy,,September
9-30-2017,Shirt,Uniqlo,Navy,White,September
9-30-2017,Pants,Issey Miyake,Brown,,September
9-30-2017,Shoes,Heschung,Brown,,September
10-1-2017,Coat,Stephan Schneider,Navy,,October
